year,season,fishery,ess,length,obs,pred
1988,3,13,502.62,140,0,0
1988,3,13,502.62,142,0,0
1988,3,13,502.62,144,0,0
1988,3,13,502.62,146,0,0
1988,3,13,502.62,148,0,0
1988,3,13,502.62,150,0,0
1988,3,13,502.62,152,0,0
1988,3,13,502.62,154,0,0
1988,3,13,502.62,156,0,0
1988,3,13,502.62,158,0,0
1988,3,13,502.62,160,0,0
1988,3,13,502.62,162,0,0
1988,3,13,502.62,164,0,0
1988,3,13,502.62,166,0,0
1988,3,13,502.62,168,0,0
1988,3,13,502.62,170,0,0
1988,3,13,502.62,172,0,0
1988,3,13,502.62,174,0,0
1988,3,13,502.62,176,0,0
1988,3,13,502.62,178,0,0
1988,3,13,502.62,180,0,0
1988,3,13,502.62,182,0,0
1988,3,13,502.62,184,0,0
1988,3,13,502.62,186,0,0
1988,3,13,502.62,188,0,0
1988,3,13,502.62,190,0,0
1988,3,13,502.62,192,0,0
1988,3,13,502.62,194,0,0
1988,3,13,502.62,196,0,0
1988,3,13,502.62,198,0,0
1988,4,13,150.3673,10,0,0
1988,4,13,150.3673,12,0,0
1988,4,13,150.3673,14,0,1e-04
1988,4,13,150.3673,16,0,3e-04
1988,4,13,150.3673,18,0,6e-04
1988,4,13,150.3673,20,0,0.0012
1988,4,13,150.3673,22,0,0.0017
1988,4,13,150.3673,24,0,0.0018
1988,4,13,150.3673,26,0,0.0016
1988,4,13,150.3673,28,0,0.0014
1988,4,13,150.3673,30,0,0.0016
1988,4,13,150.3673,32,0,0.0024
1988,4,13,150.3673,34,0,0.0036
1988,4,13,150.3673,36,0.0063,0.0047
1988,4,13,150.3673,38,0.0063,0.0052
1988,4,13,150.3673,40,0.0063,0.0055
1988,4,13,150.3673,42,0.0439,0.0065
1988,4,13,150.3673,44,0.05,0.0087
1988,4,13,150.3673,46,0.0125,0.0136
1988,4,13,150.3673,48,0.0187,0.0193
1988,4,13,150.3673,50,0.0087,0.0275
1988,4,13,150.3673,52,0.0211,0.0401
1988,4,13,150.3673,54,0.0338,0.0589
1988,4,13,150.3673,56,0.0626,0.0811
1988,4,13,150.3673,58,0.0748,0.0998
1988,4,13,150.3673,60,0.0889,0.108
1988,4,13,150.3673,62,0.2072,0.1033
1988,4,13,150.3673,64,0.1831,0.0897
1988,4,13,150.3673,66,0.1199,0.0738
1988,4,13,150.3673,68,0.0311,0.0598
1988,4,13,150.3673,70,0.0063,0.048
1988,4,13,150.3673,72,0.0063,0.037
1988,4,13,150.3673,74,0,0.0264
1988,4,13,150.3673,76,0,0.0165
1988,4,13,150.3673,78,0,0.0095
1988,4,13,150.3673,80,0,0.0049
1988,4,13,150.3673,82,0,0.0025
1988,4,13,150.3673,84,0,0.0014
1988,4,13,150.3673,86,0,0.0011
1988,4,13,150.3673,88,0,0.0015
1988,4,13,150.3673,90,0,0.0021
1988,4,13,150.3673,92,0,0.0028
1988,4,13,150.3673,94,0,0.0034
1988,4,13,150.3673,96,0,0.0038
1988,4,13,150.3673,98,0.0063,0.0039
1988,4,13,150.3673,100,0,0.0037
1988,4,13,150.3673,102,0,0.0032
1988,4,13,150.3673,104,0,0.0025
1988,4,13,150.3673,106,0,0.0018
1988,4,13,150.3673,108,0,0.0012
1988,4,13,150.3673,110,0,7e-04
1988,4,13,150.3673,112,0,4e-04
1988,4,13,150.3673,114,0.0063,2e-04
1988,4,13,150.3673,116,0,1e-04
1988,4,13,150.3673,118,0,0
1988,4,13,150.3673,120,0,0
1988,4,13,150.3673,122,0,0
1988,4,13,150.3673,124,0,0
1988,4,13,150.3673,126,0,0
1988,4,13,150.3673,128,0,0
1988,4,13,150.3673,130,0,0
1988,4,13,150.3673,132,0,0
1988,4,13,150.3673,134,0,0
1988,4,13,150.3673,136,0,0
1988,4,13,150.3673,138,0,0
1988,4,13,150.3673,140,0,0
1988,4,13,150.3673,142,0,0
1988,4,13,150.3673,144,0,0
1988,4,13,150.3673,146,0,0
1988,4,13,150.3673,148,0,0
1988,4,13,150.3673,150,0,0
1988,4,13,150.3673,152,0,0
