year,area,stage,f
2019,7,adult,0.178072078999483
2020,7,adult,0.145473852189664
2021,7,adult,0.125456355551882
1952,8,adult,0.00462279653176113
1953,8,adult,0.00929170152805803
1954,8,adult,0.00589279682926272
1955,8,adult,0.00310388655641165
1956,8,adult,0.00726747571057432
1957,8,adult,0.0121207276541661
1958,8,adult,0.00845816051811897
1959,8,adult,0.00442115053276371
1960,8,adult,0.00644621994337512
1961,8,adult,0.00911637675806003
1962,8,adult,0.0154723877780155
1963,8,adult,0.00674415853997247
1964,8,adult,0.00358552751758697
1965,8,adult,0.00512057793384141
1966,8,adult,0.00866084122905982
1967,8,adult,0.00567575951299836
1968,8,adult,0.00697041039275605
1969,8,adult,0.00250817952860789
1970,8,adult,0.00323438334509543
1971,8,adult,0.013088308393818
1972,8,adult,0.00808016621482799
1973,8,adult,0.0183624274223911
1974,8,adult,0.0301359871052953
1975,8,adult,0.00664536302684192
1976,8,adult,0.0109172068457529
1977,8,adult,0.0197824575077627
1978,8,adult,0.0238165169894976
1979,8,adult,0.0251127079507977
1980,8,adult,0.059406671592479
1981,8,adult,0.0632988148838398
1982,8,adult,0.0482131712267576
1983,8,adult,0.0438995969677455
1984,8,adult,0.0270498548954621
1985,8,adult,0.0386610975531953
1986,8,adult,0.038689262062883
1987,8,adult,0.0123565277494371
1988,8,adult,0.0193637185730906
1989,8,adult,0.0313423252910941
1990,8,adult,0.0257206990468681
1991,8,adult,0.0534069233532179
1992,8,adult,0.022474349983209
1993,8,adult,0.00941463174063259
1994,8,adult,0.0113560678656905
1995,8,adult,0.0227360369429813
1996,8,adult,0.0147724388081467
1997,8,adult,0.0352548712128128
1998,8,adult,0.0298322368762006
1999,8,adult,0.0138538303248028
2000,8,adult,0.014090258466271
2001,8,adult,0.018097066967932
2002,8,adult,0.0223179489164687
2003,8,adult,0.0431743403335236
2004,8,adult,0.0289430026536037
2005,8,adult,0.0361119087894531
2006,8,adult,0.0850335581685091
2007,8,adult,0.108169148941007
2008,8,adult,0.0730615716763138
2009,8,adult,0.0670388438734914
2010,8,adult,0.125989208960379
2011,8,adult,0.0863640923110214
2012,8,adult,0.0697194404094519
2013,8,adult,0.0829490614184559
2014,8,adult,0.0629848316335234
2015,8,adult,0.0502455934633063
2016,8,adult,0.0454720322699336
2017,8,adult,0.0703452339222284
2018,8,adult,0.0809966724045372
2019,8,adult,0.0684203727956964
2020,8,adult,0.0359080103477891
2021,8,adult,0.0366742272673482
1952,9,adult,7.39137411638112e-11
1953,9,adult,0.000175004726264498
1954,9,adult,0.00814186979812495
1955,9,adult,0.00126310675980467
1956,9,adult,0.00597056582381398
1957,9,adult,0.00519502232335079
1958,9,adult,0.00398923429654359
1959,9,adult,0.0122911180265924
1960,9,adult,0.00135084788482618
1961,9,adult,0.000815472143343754
1962,9,adult,0.000167473259535476
1963,9,adult,0.0256177858053577
1964,9,adult,0.00627275419285039
1965,9,adult,0.0395633998414012
1966,9,adult,0.0165442397576869
1967,9,adult,0.0016811581775322
1968,9,adult,0.00406984991870133
1969,9,adult,0.0115389536460642
1970,9,adult,0.00455197263317445
1971,9,adult,0.000551190594386353
1972,9,adult,0.00219875449547102
1973,9,adult,0.00239961060889
1974,9,adult,0.00446222221200959
1975,9,adult,0.00250307350543372
1976,9,adult,0.000341929245075374
1977,9,adult,0.000590537809294619
1978,9,adult,0.000435609573146403
1979,9,adult,0.00090974747615348
1980,9,adult,0.000246373916920085
1981,9,adult,0.000687448745303888
1982,9,adult,0.00163347627840817
1983,9,adult,0.00018780568354239
1984,9,adult,0.000313147468094905
1985,9,adult,0.00746673620630246
1986,9,adult,0.000428123047392219
1987,9,adult,0.000174308363205046
1988,9,adult,0.000655038188222028
1989,9,adult,0.00234190944042289
1990,9,adult,0.00105128230077765
1991,9,adult,0.00107570777696775
1992,9,adult,0.00292147563176453
1993,9,adult,0.00775962476402632
1994,9,adult,0.0437848350070292
1995,9,adult,0.0705896065358983
1996,9,adult,0.0212647447593206
1997,9,adult,0.0472189368628535
1998,9,adult,0.0661665665410355
1999,9,adult,0.028618486381626
2000,9,adult,0.0462126063570561
2001,9,adult,0.0432579514651701
2002,9,adult,0.05595594735579
2003,9,adult,0.0628303974705732
2004,9,adult,0.024304695067564
2005,9,adult,0.0222894609876272
2006,9,adult,0.0109886853809985
2007,9,adult,0.018313286818421
2008,9,adult,0.0104998751245942
2009,9,adult,0.00850572524188106
2010,9,adult,0.0067508033512038
2011,9,adult,0.00718431073188089
2012,9,adult,0.00572779560539394
2013,9,adult,0.00401133492417965
2014,9,adult,0.00789051788581561
2015,9,adult,0.0112380285605938
2016,9,adult,0.0104720592292411
2017,9,adult,0.00640278898197716
2018,9,adult,0.00455407115794808
2019,9,adult,0.00709869272741068
2020,9,adult,0.00430938735472384
2021,9,adult,0.00358371023238858
1952,all,adult,0.00857891254443611
1953,all,adult,0.00833244136576564
1954,all,adult,0.00549259160168779
1955,all,adult,0.00840566121616662
1956,all,adult,0.00870570451308261
1957,all,adult,0.0116982483688632
1958,all,adult,0.0173479485614028
1959,all,adult,0.0165309942397247
1960,all,adult,0.0170982576634596
1961,all,adult,0.0179816791873169
1962,all,adult,0.0174363017117349
1963,all,adult,0.0230286313716291
1964,all,adult,0.0178673217545902
1965,all,adult,0.017851301119142
1966,all,adult,0.0196260513035646
1967,all,adult,0.0210103558982027
1968,all,adult,0.0181266256421053
1969,all,adult,0.0221904900427646
1970,all,adult,0.0181555479347566
1971,all,adult,0.0197795287319837
1972,all,adult,0.0277493603121084
1973,all,adult,0.0228489764316823
1974,all,adult,0.0255488176437199
1975,all,adult,0.0326843852282664
1976,all,adult,0.0335130427288773
1977,all,adult,0.0350297100258947
1978,all,adult,0.0289314880037037
1979,all,adult,0.0378407648084554
1980,all,adult,0.0370380518986622
1981,all,adult,0.0309781759401342
1982,all,adult,0.0365252687773763
1983,all,adult,0.0327047477887655
1984,all,adult,0.0350977933931689
1985,all,adult,0.0405012740875198
1986,all,adult,0.0313973276493978
1987,all,adult,0.0448576160136985
1988,all,adult,0.0401848289546185
1989,all,adult,0.0409858649367461
1990,all,adult,0.0479357337529341
1991,all,adult,0.036474270839689
1992,all,adult,0.0498818019909305
1993,all,adult,0.0487421363639442
1994,all,adult,0.0680991776375681
1995,all,adult,0.0588972626082048
1996,all,adult,0.0515283806861017
1997,all,adult,0.0614164584265618
1998,all,adult,0.0778000680193109
1999,all,adult,0.0716891237435176
2000,all,adult,0.076079661981263
2001,all,adult,0.0746952633171358
2002,all,adult,0.0936858794311678
2003,all,adult,0.0787871190368701
2004,all,adult,0.10501535369972
2005,all,adult,0.0777521388043638
2006,all,adult,0.0859350042530882
2007,all,adult,0.0783497506162968
2008,all,adult,0.0831816444868321
2009,all,adult,0.0897106957335828
2010,all,adult,0.0794666376480901
2011,all,adult,0.0863601683703725
2012,all,adult,0.0954940840722892
2013,all,adult,0.0822440170485637
2014,all,adult,0.10523635278794
2015,all,adult,0.0912952077032815
2016,all,adult,0.0743331753200454
2017,all,adult,0.0629506561084808
2018,all,adult,0.0800274825563185
2019,all,adult,0.0836998357418946
2020,all,adult,0.0713160865077276
2021,all,adult,0.0626169457515465
1952,1,juvenile,0.0260172666355997
1953,1,juvenile,0.024358133795871
1954,1,juvenile,0.0241570400125853
1955,1,juvenile,0.0328952759608685
1956,1,juvenile,0.0340554531716875
1957,1,juvenile,0.0335847506932103
1958,1,juvenile,0.0412290320467565
1959,1,juvenile,0.0255269315335112
1960,1,juvenile,0.0370426340874923
1961,1,juvenile,0.0275116723008874
1962,1,juvenile,0.0176421594977739
1963,1,juvenile,0.0291515737273944
1964,1,juvenile,0.0256786584654058
1965,1,juvenile,0.025940190480164
1966,1,juvenile,0.0295728503315205
1967,1,juvenile,0.0475996323989331
1968,1,juvenile,0.0392910494537373
1969,1,juvenile,0.0638081969483353
1970,1,juvenile,0.0498870822344147
1971,1,juvenile,0.0369809740390147
1972,1,juvenile,0.0202584745042542
1973,1,juvenile,0.0165098029630211
1974,1,juvenile,0.0192043831171928
1975,1,juvenile,0.0300203935548565
1976,1,juvenile,0.0332429564006521
1977,1,juvenile,0.0360918838681811
1978,1,juvenile,0.0481279856636702
1979,1,juvenile,0.042439088542163
1980,1,juvenile,0.0339039599256689
1981,1,juvenile,0.0381070871620721
1982,1,juvenile,0.0410350921168526
1983,1,juvenile,0.0415741055920709
1984,1,juvenile,0.0534678159167646
1985,1,juvenile,0.0777698797130063
1986,1,juvenile,0.0470856206702184
1987,1,juvenile,0.0626351756674145
1988,1,juvenile,0.0740087786380827
1989,1,juvenile,0.0611007548717358
1990,1,juvenile,0.0585955096081741
1991,1,juvenile,0.0508490980532421
1992,1,juvenile,0.0592201994881436
1993,1,juvenile,0.0577788416241857
1994,1,juvenile,0.0752210481422859
1995,1,juvenile,0.103149686359974
1996,1,juvenile,0.0955710391906867
1997,1,juvenile,0.0797645967882911
1998,1,juvenile,0.074316807163738
1999,1,juvenile,0.0670892775782026
2000,1,juvenile,0.0960378599539748
2001,1,juvenile,0.0564668898412571
2002,1,juvenile,0.0881261348818784
2003,1,juvenile,0.062153583057122
2004,1,juvenile,0.131374918247383
2005,1,juvenile,0.048112000491542
2006,1,juvenile,0.129906552906012
2007,1,juvenile,0.115835656965469
2008,1,juvenile,0.0568329272591984
2009,1,juvenile,0.0710081397588215
2010,1,juvenile,0.0674448234083177
2011,1,juvenile,0.0929775052162872
2012,1,juvenile,0.0960629296502043
2013,1,juvenile,0.0498650780024913
2014,1,juvenile,0.0699030745079045
2015,1,juvenile,0.0639485901417072
2016,1,juvenile,0.0557848059028887
2017,1,juvenile,0.0472299510155689
2018,1,juvenile,0.045668661467412
2019,1,juvenile,0.0395578569307466
2020,1,juvenile,0.0596617101790192
2021,1,juvenile,0.0589939647884704
1952,2,juvenile,0.00402173861166894
1953,2,juvenile,0.00293593623893625
1954,2,juvenile,0.00179349876915444
1955,2,juvenile,0.00407625214693264
1956,2,juvenile,0.00247622018153893
1957,2,juvenile,0.0030381720903127
1958,2,juvenile,0.00758139225101051
1959,2,juvenile,0.00933611210686676
1960,2,juvenile,0.00765139430409686
1961,2,juvenile,0.00806185139346423
1962,2,juvenile,0.0106679588879587
1963,2,juvenile,0.0118141677445958
1964,2,juvenile,0.00909687023199148
1965,2,juvenile,0.00584233866075904
1966,2,juvenile,0.00749173546641124
1967,2,juvenile,0.00932928526386436
1968,2,juvenile,0.00643376634386104
1969,2,juvenile,0.00757626762713325
1970,2,juvenile,0.00985671019311981
1971,2,juvenile,0.00879518817412956
1972,2,juvenile,0.0128318603116005
1973,2,juvenile,0.0124161203166178
1974,2,juvenile,0.013060464053116
1975,2,juvenile,0.0120571868564223
1976,2,juvenile,0.0139872193449207
1977,2,juvenile,0.00991857382416063
1978,2,juvenile,0.0126333447050911
1979,2,juvenile,0.0115129364911254
1980,2,juvenile,0.0101475148793043
1981,2,juvenile,0.0145095628576614
1982,2,juvenile,0.0114943684501159
1983,2,juvenile,0.00951855106256167
1984,2,juvenile,0.0101478447206818
1985,2,juvenile,0.00916084453286479
1986,2,juvenile,0.0125481323463717
1987,2,juvenile,0.0160697534571347
1988,2,juvenile,0.0197247391501774
1989,2,juvenile,0.0182504001244399
1990,2,juvenile,0.0131515322667694
1991,2,juvenile,0.0182884495755401
1992,2,juvenile,0.0133686805397599
1993,2,juvenile,0.0170289007249803
1994,2,juvenile,0.014516527559091
1995,2,juvenile,0.0179247713050781
1996,2,juvenile,0.0140730771993483
1997,2,juvenile,0.0135307988169786
1998,2,juvenile,0.0145837925143828
1999,2,juvenile,0.0158727093948262
2000,2,juvenile,0.0117915463925221
2001,2,juvenile,0.0122856569196083
2002,2,juvenile,0.0131965436417298
2003,2,juvenile,0.0224994858183431
2004,2,juvenile,0.0194467595082636
2005,2,juvenile,0.0246161680590509
2006,2,juvenile,0.020788105716991
2007,2,juvenile,0.0221238156637147
2008,2,juvenile,0.0260450482019385
2009,2,juvenile,0.0154182016033389
2010,2,juvenile,0.0137362749462631
2011,2,juvenile,0.0211427163659554
2012,2,juvenile,0.0260740216458481
2013,2,juvenile,0.0228998748225458
2014,2,juvenile,0.020109257984069
2015,2,juvenile,0.0205736892164651
2016,2,juvenile,0.0250712394684956
2017,2,juvenile,0.0294132331715049
2018,2,juvenile,0.0304186798399028
2019,2,juvenile,0.0318943139222056
2020,2,juvenile,0.0323699943575119
2021,2,juvenile,0.0370879860434842
1952,3,juvenile,0.0034010027300209
1953,3,juvenile,0.00647030154172188
1954,3,juvenile,0.00222229674546424
1955,3,juvenile,0.00494166174891239
1956,3,juvenile,0.00509638595657209
1957,3,juvenile,0.013600694554565
1958,3,juvenile,0.0114159802920566
1959,3,juvenile,0.0129649440124711
1960,3,juvenile,0.0113473441112534
1961,3,juvenile,0.0139176955840339
1962,3,juvenile,0.0110660756098696
1963,3,juvenile,0.0158765050560394
1964,3,juvenile,0.00926071908355504
1965,3,juvenile,0.0114333749340151
1966,3,juvenile,0.016050152703473
1967,3,juvenile,0.0108946685831373
1968,3,juvenile,0.0124875141282475
1969,3,juvenile,0.0193035470261385
1970,3,juvenile,0.00890069548995807
1971,3,juvenile,0.012470817939931
1972,3,juvenile,0.054701185216122
1973,3,juvenile,0.0213124596207002
1974,3,juvenile,0.0235206339000513
1975,3,juvenile,0.0345178499041353
1976,3,juvenile,0.0615826088672871
1977,3,juvenile,0.0588129343459193
1978,3,juvenile,0.0540441287246836
1979,3,juvenile,0.0739566594073207
1980,3,juvenile,0.122134626496844
1981,3,juvenile,0.286967825024774
1982,3,juvenile,0.334324345125043
1983,3,juvenile,0.250731147275199
1984,3,juvenile,0.485909819756725
1985,3,juvenile,0.219262931034354
1986,3,juvenile,0.505239650175262
1987,3,juvenile,0.854050965665427
1988,3,juvenile,0.58679397353781
1989,3,juvenile,0.352450126528083
1990,3,juvenile,0.537831623471207
1991,3,juvenile,0.536436436051354
1992,3,juvenile,1.0050949228683
1993,3,juvenile,0.6817212971266
1994,3,juvenile,0.677399253090542
1995,3,juvenile,0.422623523546003
1996,3,juvenile,0.371930578222183
1997,3,juvenile,0.380364886719799
1998,3,juvenile,0.457305974783146
1999,3,juvenile,1.10925675816245
2000,3,juvenile,0.409890065812116
2001,3,juvenile,0.293973120758601
2002,3,juvenile,0.413132069216715
2003,3,juvenile,0.519121444735944
2004,3,juvenile,0.792826771780263
2005,3,juvenile,0.734471957688138
2006,3,juvenile,0.634223491467987
2007,3,juvenile,0.560615186434233
2008,3,juvenile,0.473982821418923
2009,3,juvenile,0.367814149498508
2010,3,juvenile,0.300600507784276
2011,3,juvenile,0.569252400856369
2012,3,juvenile,0.273020708892311
2013,3,juvenile,0.339857753730747
2014,3,juvenile,0.331132645195099
2015,3,juvenile,0.293455844085716
2016,3,juvenile,0.433858850865694
2017,3,juvenile,0.421851699355257
2018,3,juvenile,0.393800154125642
2019,3,juvenile,0.227259155112164
2020,3,juvenile,0.759423248793748
2021,3,juvenile,0.513754421880127
1952,4,juvenile,0.00456617877915063
1953,4,juvenile,0.00540474739397949
1954,4,juvenile,0.00138076817520295
1955,4,juvenile,0.00336811279791882
1956,4,juvenile,0.00454169449510022
1957,4,juvenile,0.00688679961764025
1958,4,juvenile,0.0110290136133967
1959,4,juvenile,0.00601932511726619
1960,4,juvenile,0.00648958662250364
1961,4,juvenile,0.0102531937709924
1962,4,juvenile,0.00755372538622951
1963,4,juvenile,0.0117242079792214
1964,4,juvenile,0.0107859802242343
1965,4,juvenile,0.0111119205616182
1966,4,juvenile,0.00857845365268261
1967,4,juvenile,0.0093632949654346
1968,4,juvenile,0.007368911904288
1969,4,juvenile,0.00949703789693734
